標題,分類,作者,時間,連結,關鍵字
遭指控約炮　男歌手「直播剁手指」驚悚畫面曝光！,NOWnews>娛樂,記者吳雨婕綜合報導,2019-08-06 13:24:15,https://www.nownews.com/news/20190806/3544959/,PC ONE中國有嘻哈剁手紅花會貝貝醜聞
林采緹自爆想離婚　「遇到錯的人比單身還可怕」,NOWnews>其它,文姊妹淘希希,2019-08-06 12:19:10,https://www.nownews.com/news/20190806/3544780/,grace姊妹淘林采緹胡睿兒阿翔
Rain老婆準備生產　37歲二度當爸卻爆出「中年疾病」,NOWnews>娛樂,記者陳雅蘭台北報導,2019-08-06 12:07:10,https://www.nownews.com/news/20190806/3544683/,rain歡迎來到第2人生鄭智薰金泰希韓尚進
挺小英拚選？鄭弘儀傳重返政論戰場　電視台回應了,NOWnews>娛樂,娛樂中心∕綜合報導,2019-08-06 11:55:31,https://www.nownews.com/news/20190806/3544535/,三立大話新聞政論節目鄭弘儀鄭知道了
車站巧遇「大咖女星」　王彩樺獲女神合影：像在作夢,NOWnews>娛樂,娛樂中心綜合報導,2019-08-06 11:16:12,https://www.nownews.com/news/20190806/3544396/,台灣濱崎步志玲姐姐林志玲王彩樺藝人巧遇
《普羅米亞》花7年完成！　新時代戰鬥動畫到來,NOWnews>娛樂>iLOOK電影,文iLOOK電影雜誌,2019-08-06 11:01:14,https://www.nownews.com/news/20190806/3536021/,普羅米亞電影
TWICE再爆戀愛「跟粉絲交往2年」　對象是SJ希澈,NOWnews>娛樂,記者陳雅蘭綜合報導,2019-08-06 10:27:50,https://www.nownews.com/news/20190806/3544420/,momosjtwicewanna one姜丹尼爾希澈志效
不要害怕做自己！　跟著《朵拉與失落的黃金城》踏上旅程,NOWnews>娛樂>iLOOK電影,文iLOOK電影雜誌,2019-08-06 10:08:34,https://www.nownews.com/news/20190806/3544387/,愛探險的朵拉朵拉朵拉與失落的黃金城電影
《大學生了沒》大亨持麻被逮！「檢驗報告出爐」首發聲,NOWnews>娛樂,娛樂中心∕綜合報導,2019-08-06 09:57:01,https://www.nownews.com/news/20190806/3544278/,PokerStars名人涉毒埃華大亨大學生了沒
台視出現靈異事件　陳為民證實「這個攝影棚最陰」,NOWnews>娛樂,記者臺孝婷綜合報導,2019-08-06 08:57:08,https://www.nownews.com/news/20190806/3544281/,台視17Q成語蕎紀艾希陳為民靈異現象
