標題,分類,作者,時間,連結,關鍵字
《大學生了沒》大亨持麻被逮！「檢驗報告出爐」首發聲,NOWnews>娛樂,娛樂中心∕綜合報導,2019-08-06 09:57:01,https://www.nownews.com/news/20190806/3544278/,PokerStars名人涉毒埃華大亨大學生了沒
女童疑遭男童推落墜樓 校方協助兩方後續處理,NOWnews>中央社,中央社,2019-08-05 19:19:23,https://www.nownews.com/news/20190805/3543717/,
屏東烏龍抽水站附近魚塭意外 2人溺水不治,NOWnews>中央社,中央社,2019-08-05 17:59:22,https://www.nownews.com/news/20190805/3543403/,
彰化福峰製酒公司氣爆4人送醫 2人命危,NOWnews>中央社,中央社,2019-08-05 17:14:21,https://www.nownews.com/news/20190805/3543239/,
大賣場電梯擠不下推車！阿伯一招無敵「神解」　眾人傻眼,NOWnews>新奇,編輯中心綜合報導,2019-08-05 16:24:01,https://www.nownews.com/news/20190805/3542527/,人品推車推車走道美式賣場電梯
華山分屍案判死 法官：凶嫌泯滅人性,NOWnews>中央社,中央社,2019-08-05 16:14:25,https://www.nownews.com/news/20190805/3543045/,
影∕福峰酒廠驚傳氣爆　4名員工遭炸傷,NOWnews>地方>中彰投,記者陳雅芳∕彰化報導,2019-08-05 16:08:56,https://www.nownews.com/news/20190805/3542846/,氣爆消防燒燙傷酒廠釀酒區
到底是圖利？還是便民？　侯寬仁破解說分明,NOWnews>地方,記者陳惲朋嘉義報導,2019-08-05 15:52:38,https://www.nownews.com/news/20190805/3542796/,侯寬仁便民公務員嘉義縣圖利法務部翁章梁
興泰實業炒股判決出爐　負責人吳金泉處12年徒刑,NOWnews>社會,記者李春台桃園報導,2019-08-05 15:48:56,https://www.nownews.com/news/20190805/3542847/,吳金泉桃園地方法院炒股興泰實業股份有限公司郇金鏞
一審判死！華山分屍案肢解13塊　傳翻供喊「人非我殺！」,NOWnews>IAFB,編輯中心∕綜合報導,2019-08-05 15:26:27,https://www.nownews.com/news/20190805/3542806/,性侵死刑翻供華山分屍華山草原陳伯謙
超商前倒楣燈桿1週被撞斷2次 苗市公所將移位,NOWnews>中央社,中央社,2019-08-05 15:19:23,https://www.nownews.com/news/20190805/3542919/,
影∕出口蜜餞包藏「一粒眠」　海關攔下3萬顆,NOWnews>地方,記者李春台桃園報導,2019-08-05 15:17:49,https://www.nownews.com/news/20190805/3542720/,一粒眠台北關航警局航郵中心蜜餞
澎漁船虎井海域擱淺　海巡、友船馳援人員平安,NOWnews>地方,記者張塵澎湖報導,2019-08-05 14:22:45,https://www.nownews.com/news/20190805/3542573/,友船支援海上救援澎湖海巡虎井海域馬公
彰化製酒廠傳氣爆意外 4人送醫急救,NOWnews>中央社,中央社,2019-08-05 13:09:23,https://www.nownews.com/news/20190805/3542548/,
雲林斗南傳槍響 初步調查酒後糾紛惹禍,NOWnews>中央社,中央社,2019-08-05 12:44:21,https://www.nownews.com/news/20190805/3542490/,
