place,title,catagory,startDate,endDate,id,link
華山,神腦原鄉踏查紀錄片競賽頒獎暨特映會,展演活動,2019-12-14,2019-12-14,19112515465572411,https://www.huashan1914.com/w/huashan1914/exhibition_19112515465572411
華山,NEWVIEW AWARDS 2019 國際新銳 VR 作品體驗展,展演活動,2019-12-06,2019-12-15,19120114365641313,https://www.huashan1914.com/w/huashan1914/exhibition_19120114365641313
華山,美業文青潮市集,展演活動市集活動,2019-12-14,2019-12-15,19120321542315303,https://www.huashan1914.com/w/huashan1914/exhibition_19120321542315303
華山,第三屆青年公益實踐計畫成果發表會,展演活動,2019-12-15,2019-12-15,19120419303352332,https://www.huashan1914.com/w/huashan1914/exhibition_19120419303352332
華山,熱青年Action！第二屆互動展,論壇講座,2019-12-13,2019-12-15,19102915123130443,https://www.huashan1914.com/w/huashan1914/exhibition_19102915123130443
華山,2019第七屆 華文朗讀節-故事的力量,展演活動,2019-12-13,2019-12-16,19112315573786882,https://www.huashan1914.com/w/huashan1914/exhibition_19112315573786882
華山,【華山文旅學 X 相遇地方】地方創生的風土設計課-青年如何參與地方創生，創造自己的志業與事業,論壇講座,2019-12-21,2019-12-21,19112612263626368,https://www.huashan1914.com/w/huashan1914/exhibition_19112612263626368
華山,2019台灣插畫設計週 《靈感画市》,市集活動,2019-12-20,2019-12-22,19120417311675535,https://www.huashan1914.com/w/huashan1914/exhibition_19120417311675535
華山,「絕景・只見線——魅惑吳心緹の日本最美鐵道風景」攝影展,展演活動,2019-12-13,2019-12-22,19120521554304203,https://www.huashan1914.com/w/huashan1914/exhibition_19120521554304203
華山,Garmin「vívomove系列獨一有二快閃店」,展演活動,2019-12-20,2019-12-22,19120916304174407,https://www.huashan1914.com/w/huashan1914/exhibition_19120916304174407
華山,MIDORI POP UP SHOP,期間限定店,2019-11-29,2019-12-25,19120710463572413,https://www.huashan1914.com/w/huashan1914/exhibition_19120710463572413
華山,大華山地區兒童導覽半日遊，現正報名中！,展演活動,2019-12-28,2019-12-28,19120718203809356,https://www.huashan1914.com/w/huashan1914/exhibition_19120718203809356
華山,討酒吧! 無思農莊X小農文創 聯名出擊!,期間限定店,2019-08-02,2019-12-29,19080717355028146,https://www.huashan1914.com/w/huashan1914/exhibition_19080717355028146
華山,Fxiii｜About Time 關於時間 刺繡插畫展,展演活動,2019-10-11,2019-12-31,19092718353537036,https://www.huashan1914.com/w/huashan1914/exhibition_19092718353537036
華山,窩在印花裡 Happy Cozy Prints,展演活動,2019-12-06,2020-01-03,19120612033966864,https://www.huashan1914.com/w/huashan1914/exhibition_19120612033966864
華山,Marimekko pop up store,期間限定店品牌活動,2019-10-10,2020-01-05,19100210335327523,https://www.huashan1914.com/w/huashan1914/exhibition_19100210335327523
華山,日常經典Pop Up Shop快閃店,期間限定店,2019-11-13,2020-01-05,19111317440175827,https://www.huashan1914.com/w/huashan1914/exhibition_19111317440175827
華山,藍染生活美學－華山限定家飾館,期間限定店,2019-11-08,2020-01-06,19110113161503212,https://www.huashan1914.com/w/huashan1914/exhibition_19110113161503212
華山,氣味的形象The Shape of Smell eyecandle 華山快閃店,期間限定店,2019-11-07,2020-01-06,19110710041394586,https://www.huashan1914.com/w/huashan1914/exhibition_19110710041394586
華山,LINE FRIENDS 潮玩限定店,展演活動期間限定店,2019-12-21,2020-02-09,19121011542193256,https://www.huashan1914.com/w/huashan1914/exhibition_19121011542193256
華山,黃阿瑪的後宮生活　相遇十週年小店舖,展演活動期間限定店,2019-12-22,2020-03-01,19121220042978030,https://www.huashan1914.com/w/huashan1914/exhibition_19121220042978030
華山,超．大恐龍展,展演活動,2019-12-28,2020-03-19,19100218255918385,https://www.huashan1914.com/w/huashan1914/exhibition_19100218255918385
華山,狗狗GoGoGo！華山機場 狗狗主場,展演活動,2020-01-10,2019-03-29,19120916374631155,https://www.huashan1914.com/w/huashan1914/exhibition_19120916374631155
華山,水豚君日日是好日~15周年特展,展演活動,2020-01-08,2019-04-05,19121018174583557,https://www.huashan1914.com/w/huashan1914/exhibition_19121018174583557
華山,巴黎龐畢度中心 兒童藝術工作坊｜我的眼睛！視覺藝術大冒險,展演活動,2019-12-25,2020-04-05,19102118354760128,https://www.huashan1914.com/w/huashan1914/exhibition_19102118354760128
華山,我把動物FUN大了!霍夫曼的療癒動物園,展演活動,2019-12-28,2020-04-05,19120509572865250,https://www.huashan1914.com/w/huashan1914/exhibition_19120509572865250
華山,貓茶町-茶食茶飲體驗舖,期間限定店,2019-11-16,2020-04-29,19112215063983622,https://www.huashan1914.com/w/huashan1914/exhibition_19112215063983622
華山,臺師大表演藝術學士學位學程畢業製作《換你許願》,表演表演藝術,2019-12-13,2019-12-15,/w/umaytheater/performance_19100112224008035,https://www.huashan1914.com/w/umaytheater/performance_19100112224008035
華山,臺大戲劇系第18屆畢業製作《皮爾·金特》,表演表演藝術,2019-12-20,2019-12-22,/w/umaytheater/performance_19102711180325045,https://www.huashan1914.com/w/umaytheater/performance_19102711180325045
華山,背包客劇團第六號作品《未知的旅行》,表演表演藝術,2019-12-27,2019-12-29,/w/umaytheater/performance_19102111421790077,https://www.huashan1914.com/w/umaytheater/performance_19102111421790077
華山,日本52PRO！劇團新作《夾縫轍痕》,表演表演藝術,2020-02-21,2019-03-01,/w/umaytheater/performance_19120513332272017,https://www.huashan1914.com/w/umaytheater/performance_19120513332272017
